#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
cmor;    zooc;          ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;               ANY;                ANY
cmor;    bfeos;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    bsios;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    chldiatos;     ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    chlmiscos;     ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    dmsos;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    dpo2;          ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    epfe100;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    fescav;        ocnBgChem;     mon;                NONE;                 time-mean;             XY-O;               ANY;                ANY
cmor;    fgdms;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    fsfe;          ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    fsn;           ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    graz;          ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;               ANY;                ANY
cmor;    icfriver;      ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    intpbfe;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    intpbsi;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    intpcalcite;   ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    intpn2;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    intppmisc;     ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    ocfriver;      ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
