#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
extra;   clhcalipsoliq; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cltcalipsoliq; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cllcalipsoun;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmcalipsoun;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clhcalipsoun;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cltcalipsoun;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsoun;   atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmp;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpice; atmos;   3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpliq; atmos;   3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpun;  atmos;   3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   parasolCRefl;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cltlidarradar; atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauisccp;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   meantbisccp;   atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   meantbclrisccp; atmos;    3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clhmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cllmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tautmodis;     atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauwmodis;     atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauimodis;     atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   reffclwmodis;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   reffclimodis;  atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   pctmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   lwpmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   iwpmodis;      atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmodis;       atmos;     3hrPt;     CNRM_HOMAL3hrPt;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
