#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
extra;   cllcalipsoun;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmcalipsoun;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clhcalipsoun;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cltcalipsoun;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsoun;   atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmp;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpice; atmos;     mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpliq; atmos;     mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clcalipsotmpun;  atmos;     mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   parasolCRefl;  atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
